,Missing Count,Missing Percentage
thumbnail_url,20765,100.0
medium_url,20765,100.0
host_acceptance_rate,20765,100.0
neighbourhood_group_cleansed,20765,100.0
xl_picture_url,20765,100.0
jurisdiction_names,20763,99.99036840837948
license,20761,99.98073681675898
square_feet,20609,99.24873585359981
monthly_price,18987,91.4375150493619
weekly_price,18678,89.94943414399229
notes,10967,52.814832651095585
host_about,8757,42.171923910426194
access,7986,38.458945340717555
interaction,7716,37.15868047194799
neighborhood_overview,7291,35.111967252588485
transit,7086,34.12472911148568
house_rules,6576,31.668673248254276
space,5774,27.806405008427642
host_response_time,4984,24.001926318324106
host_response_rate,4984,24.001926318324106
security_deposit,4902,23.607031061882978
review_scores_location,4287,20.645316638574524
review_scores_value,4284,20.630869251143753
review_scores_checkin,4282,20.621237659523235
review_scores_accuracy,4281,20.61642186371298
review_scores_communication,4279,20.60679027209246
review_scores_cleanliness,4279,20.60679027209246
review_scores_rating,4271,20.5682639056104
last_review,3982,19.17649891644594
reviews_per_month,3982,19.17649891644594
first_review,3982,19.17649891644594
cleaning_fee,3384,16.296653021911872
host_neighbourhood,2520,12.135805441849264
summary,664,3.1976884180110763
zipcode,365,1.7577654707440402
description,346,1.6662653503491454
market,37,0.17818444497953287
state,28,0.13484228268721407
beds,23,0.11076330363592583
host_location,19,0.09150012039489526
bathrooms,15,0.07223693715386469
bedrooms,8,0.03852636648206116
host_identity_verified,5,0.024078979051288224
host_has_profile_pic,5,0.024078979051288224
host_total_listings_count,5,0.024078979051288224
host_listings_count,5,0.024078979051288224
host_picture_url,5,0.024078979051288224
host_thumbnail_url,5,0.024078979051288224
host_is_superhost,5,0.024078979051288224
host_since,5,0.024078979051288224
host_name,5,0.024078979051288224
city,1,0.004815795810257645
neighbourhood,1,0.004815795810257645
name,1,0.004815795810257645
